"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
20366,"tpInternetConn_Access","Country access to international connectivity",,,6,"AFG","Afghanistan","Yes",2018,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,6,"AFG","Afghanistan","Yes",2019,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,6,"AFG","Afghanistan","Yes",2020,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,6,"AFG","Afghanistan","Yes",2021,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,7,"ZAF","South Africa","Yes",2018,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,7,"ZAF","South Africa","Yes",2019,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,7,"ZAF","South Africa","Yes",2021,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,7,"ZAF","South Africa","Yes",2022,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,7,"ZAF","South Africa","Yes",2023,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,8,"AGO","Angola","Yes",2020,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,8,"AGO","Angola","Yes",2021,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,8,"AGO","Angola","Yes",2023,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,10,"ALB","Albania","Yes",2015,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,10,"ALB","Albania","Yes",2016,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,10,"ALB","Albania","Yes",2017,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,10,"ALB","Albania","Yes",2018,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,10,"ALB","Albania","Yes",2019,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,10,"ALB","Albania","Yes",2020,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,10,"ALB","Albania","Yes",2021,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,10,"ALB","Albania","Yes",2022,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,10,"ALB","Albania","Yes",2023,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,11,"DZA","Algeria","Yes",2015,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,11,"DZA","Algeria","Yes",2016,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,11,"DZA","Algeria","Yes",2017,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,11,"DZA","Algeria","Yes",2018,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,11,"DZA","Algeria","Yes",2021,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,11,"DZA","Algeria","Yes",2022,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,11,"DZA","Algeria","Yes",2023,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,14,"AND","Andorra","Yes",2015,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,14,"AND","Andorra","Yes",2018,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,14,"AND","Andorra","Yes",2021,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,14,"AND","Andorra","Yes",2022,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,14,"AND","Andorra","Yes",2023,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,16,"ARG","Argentina","Yes",2015,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,16,"ARG","Argentina","Yes",2016,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,16,"ARG","Argentina","Yes",2017,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,16,"ARG","Argentina","Yes",2020,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,16,"ARG","Argentina","Yes",2021,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,16,"ARG","Argentina","Yes",2022,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,16,"ARG","Argentina","Yes",2023,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,17,"ARM","Armenia","Yes",2015,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,17,"ARM","Armenia","Yes",2016,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,17,"ARM","Armenia","Yes",2017,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,17,"ARM","Armenia","Yes",2018,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,17,"ARM","Armenia","Yes",2019,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,17,"ARM","Armenia","Yes",2020,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,17,"ARM","Armenia","Yes",2021,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,17,"ARM","Armenia","Yes",2022,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,17,"ARM","Armenia","Yes",2023,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,18,"SAU","Saudi Arabia","Yes",2015,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,18,"SAU","Saudi Arabia","Yes",2016,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,18,"SAU","Saudi Arabia","Yes",2017,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,18,"SAU","Saudi Arabia","Yes",2018,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,18,"SAU","Saudi Arabia","Yes",2019,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,18,"SAU","Saudi Arabia","Yes",2020,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,18,"SAU","Saudi Arabia","Yes",2021,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,18,"SAU","Saudi Arabia","Yes",2022,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,18,"SAU","Saudi Arabia","Yes",2023,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,23,"AUS","Australia","Yes",2015,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,23,"AUS","Australia","Yes",2016,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,23,"AUS","Australia","Yes",2017,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,23,"AUS","Australia","Yes",2018,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,23,"AUS","Australia","Yes",2019,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,23,"AUS","Australia","Yes",2020,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,23,"AUS","Australia","Yes",2021,"","","Country access to international connectivity"
20366,"tpInternetConn_Access","Country access to international connectivity",,,23,"AUS","Australia","Yes",2022,"","","Country access to international connectivity"
