"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
34610,"i271mb_low_ts$","Mobile data and voice low-consumption basket",,"% GNI per capita",4,"ABW","Aruba","33.52",2018,"","","Mobile data and voice low-consumption basket. The basket is based on a monthly usage of a minimum of 70 voice minutes, 20 SMSs and 500 MB of data using at least 3G technology."
34610,"i271mb_low_ts$","Mobile data and voice low-consumption basket",,"% GNI per capita",4,"ABW","Aruba","33.52",2019,"","","Mobile data and voice low-consumption basket. The basket is based on a monthly usage of a minimum of 70 voice minutes, 20 SMSs and 500 MB of data using at least 3G technology."
34610,"i271mb_low_ts$","Mobile data and voice low-consumption basket",,"% GNI per capita",4,"ABW","Aruba","33.52",2020,"","","Mobile data and voice low-consumption basket. The basket is based on a monthly usage of a minimum of 70 voice minutes, 20 SMSs and 500 MB of data using at least 3G technology."
34610,"i271mb_low_ts$","Mobile data and voice low-consumption basket",,"% GNI per capita",4,"ABW","Aruba","33.5196",2021,"","","Mobile data and voice low-consumption basket. The basket is based on a monthly usage of a minimum of 70 voice minutes, 20 SMSs and 500 MB of data using at least 3G technology."
34610,"i271mb_low_ts$","Mobile data and voice low-consumption basket",,"% GNI per capita",4,"ABW","Aruba","33.5196",2022,"","ITU Research","Mobile data and voice low-consumption basket. The basket is based on a monthly usage of a minimum of 70 voice minutes, 20 SMSs and 500 MB of data using at least 3G technology."
34610,"i271mb_low_ts$","Mobile data and voice low-consumption basket",,"% GNI per capita",4,"ABW","Aruba","33.52",2023,"","ITU Research; IMF","Mobile data and voice low-consumption basket. The basket is based on a monthly usage of a minimum of 70 voice minutes, 20 SMSs and 500 MB of data using at least 3G technology."
34610,"i271mb_low_ts$","Mobile data and voice low-consumption basket",,"% GNI per capita",6,"AFG","Afghanistan","6.17",2018,"","","Mobile data and voice low-consumption basket. The basket is based on a monthly usage of a minimum of 70 voice minutes, 20 SMSs and 500 MB of data using at least 3G technology."
34610,"i271mb_low_ts$","Mobile data and voice low-consumption basket",,"% GNI per capita",6,"AFG","Afghanistan","6.17",2019,"","","Mobile data and voice low-consumption basket. The basket is based on a monthly usage of a minimum of 70 voice minutes, 20 SMSs and 500 MB of data using at least 3G technology."
34610,"i271mb_low_ts$","Mobile data and voice low-consumption basket",,"% GNI per capita",6,"AFG","Afghanistan","6.95",2020,"","","Mobile data and voice low-consumption basket. The basket is based on a monthly usage of a minimum of 70 voice minutes, 20 SMSs and 500 MB of data using at least 3G technology."
34610,"i271mb_low_ts$","Mobile data and voice low-consumption basket",,"% GNI per capita",6,"AFG","Afghanistan","4.91843",2021,"","","Mobile data and voice low-consumption basket. The basket is based on a monthly usage of a minimum of 70 voice minutes, 20 SMSs and 500 MB of data using at least 3G technology."
34610,"i271mb_low_ts$","Mobile data and voice low-consumption basket",,"% GNI per capita",6,"AFG","Afghanistan","4.32838",2022,"","ITU Research","Mobile data and voice low-consumption basket. The basket is based on a monthly usage of a minimum of 70 voice minutes, 20 SMSs and 500 MB of data using at least 3G technology."
34610,"i271mb_low_ts$","Mobile data and voice low-consumption basket",,"% GNI per capita",6,"AFG","Afghanistan","3.26",2023,"","ITU Research; UNOPS","Mobile data and voice low-consumption basket. The basket is based on a monthly usage of a minimum of 70 voice minutes, 20 SMSs and 500 MB of data using at least 3G technology."
34610,"i271mb_low_ts$","Mobile data and voice low-consumption basket",,"% GNI per capita",7,"ZAF","South Africa","14.85",2018,"","","Mobile data and voice low-consumption basket. The basket is based on a monthly usage of a minimum of 70 voice minutes, 20 SMSs and 500 MB of data using at least 3G technology."
34610,"i271mb_low_ts$","Mobile data and voice low-consumption basket",,"% GNI per capita",7,"ZAF","South Africa","14.95",2019,"","","Mobile data and voice low-consumption basket. The basket is based on a monthly usage of a minimum of 70 voice minutes, 20 SMSs and 500 MB of data using at least 3G technology."
34610,"i271mb_low_ts$","Mobile data and voice low-consumption basket",,"% GNI per capita",7,"ZAF","South Africa","10.15",2020,"","","Mobile data and voice low-consumption basket. The basket is based on a monthly usage of a minimum of 70 voice minutes, 20 SMSs and 500 MB of data using at least 3G technology."
34610,"i271mb_low_ts$","Mobile data and voice low-consumption basket",,"% GNI per capita",7,"ZAF","South Africa","11.8132",2021,"","","Mobile data and voice low-consumption basket. The basket is based on a monthly usage of a minimum of 70 voice minutes, 20 SMSs and 500 MB of data using at least 3G technology."
34610,"i271mb_low_ts$","Mobile data and voice low-consumption basket",,"% GNI per capita",7,"ZAF","South Africa","8.64108",2022,"","ITU Research","Mobile data and voice low-consumption basket. The basket is based on a monthly usage of a minimum of 70 voice minutes, 20 SMSs and 500 MB of data using at least 3G technology."
34610,"i271mb_low_ts$","Mobile data and voice low-consumption basket",,"% GNI per capita",7,"ZAF","South Africa","7.2",2023,"","Independent Communications Authority of South Africa; IMF","Mobile data and voice low-consumption basket. The basket is based on a monthly usage of a minimum of 70 voice minutes, 20 SMSs and 500 MB of data using at least 3G technology."
34610,"i271mb_low_ts$","Mobile data and voice low-consumption basket",,"% GNI per capita",8,"AGO","Angola","15.23",2018,"","","Mobile data and voice low-consumption basket. The basket is based on a monthly usage of a minimum of 70 voice minutes, 20 SMSs and 500 MB of data using at least 3G technology."
34610,"i271mb_low_ts$","Mobile data and voice low-consumption basket",,"% GNI per capita",8,"AGO","Angola","15.23",2019,"","","Mobile data and voice low-consumption basket. The basket is based on a monthly usage of a minimum of 70 voice minutes, 20 SMSs and 500 MB of data using at least 3G technology."
34610,"i271mb_low_ts$","Mobile data and voice low-consumption basket",,"% GNI per capita",8,"AGO","Angola","7.56",2020,"","","Mobile data and voice low-consumption basket. The basket is based on a monthly usage of a minimum of 70 voice minutes, 20 SMSs and 500 MB of data using at least 3G technology."
