"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2","dataValue 3","dataValue 4","dataValue 5","dataValue 6"
2583,"trAuton","Entity approving regulatory decisions",,,6,"AFG","Afghanistan","None of the above",2014,"","","",,,,,,
2583,"trAuton","Entity approving regulatory decisions",,,7,"ZAF","South Africa","Sector Minister",2003,"","","",,,,,,
2583,"trAuton","Entity approving regulatory decisions",,,7,"ZAF","South Africa","Sector Minister",2004,"","","",,,,,,
2583,"trAuton","Entity approving regulatory decisions",,,8,"AGO","Angola",,2002,"","","","Sector Minister","None of the above","Parliament",,,
2583,"trAuton","Entity approving regulatory decisions",,,8,"AGO","Angola",,2003,"","","","Sector Minister","None of the above","Parliament",,,
2583,"trAuton","Entity approving regulatory decisions",,,8,"AGO","Angola",,2004,"","","","Sector Minister","President/Head of State","Parliament",,,
2583,"trAuton","Entity approving regulatory decisions",,,8,"AGO","Angola",,2007,"","","","Sector Minister","None of the above",,,,
2583,"trAuton","Entity approving regulatory decisions",,,8,"AGO","Angola",,2008,"","","","Sector Minister","None of the above",,,,
2583,"trAuton","Entity approving regulatory decisions",,,14,"AND","Andorra","Sector Minister",2009,"","","",,,,,,
2583,"trAuton","Entity approving regulatory decisions",,,14,"AND","Andorra","Sector Minister",2010,"","","",,,,,,
2583,"trAuton","Entity approving regulatory decisions",,,14,"AND","Andorra","Sector Minister",2011,"","","",,,,,,
2583,"trAuton","Entity approving regulatory decisions",,,14,"AND","Andorra","Sector Minister",2012,"","","",,,,,,
2583,"trAuton","Entity approving regulatory decisions",,,16,"ARG","Argentina",,2007,"","","","Sector Minister","None of the above",,,,
2583,"trAuton","Entity approving regulatory decisions",,,16,"ARG","Argentina",,2008,"","","","Sector Minister","None of the above",,,,
2583,"trAuton","Entity approving regulatory decisions",,,16,"ARG","Argentina",,2009,"","","","None of the above","Sector Minister",,,,
2583,"trAuton","Entity approving regulatory decisions",,,16,"ARG","Argentina",,2010,"","","","Sector Minister","None of the above",,,,
2583,"trAuton","Entity approving regulatory decisions",,,18,"SAU","Saudi Arabia",,2002,"","","","Sector Minister","None of the above",,,,
2583,"trAuton","Entity approving regulatory decisions",,,18,"SAU","Saudi Arabia","None of the above",2003,"","","",,,,,,
2583,"trAuton","Entity approving regulatory decisions",,,20,"ATG","Antigua and Barbuda","Sector Minister",2009,"","","",,,,,,
2583,"trAuton","Entity approving regulatory decisions",,,20,"ATG","Antigua and Barbuda","None of the above",2011,"","","",,,,,,
